city,year,pressure_mean,rel_hum_mean,temp_mean,temp_dew_mean,visib_mean,wind_chill_mean,wind_dir_mean,wind_spd_mean,pressure_sd,rel_hum_sd,temp_sd,temp_dew_sd,visib_sd,wind_chill_sd,wind_dir_sd,wind_spd_sd,pressure_min,rel_hum_min,temp_min,temp_dew_min,visib_min,wind_chill_min,wind_dir_min,wind_spd_min,pressure_max,rel_hum_max,temp_max,temp_dew_max,visib_max,wind_chill_max,wind_dir_max,wind_spd_max,snow_grnd_sum,total_precip_sum,total_rain_sum,total_snow_sum,snow_grnd_sd,total_precip_sd,total_rain_sd,total_snow_sd,snow_grnd_min,total_precip_min,total_rain_min,total_snow_min,snow_grnd_max,total_precip_max,total_rain_max,total_snow_max,precip,temp,date
Calgary,2014,88.89734964555225,63.72258433390509,4.43068831465813,-2.7348198970840483,33.87813857763549,-14.788567493112948,21.802928056731098,14.326929674099485,0.7643698784032287,19.379524940412296,11.919962467738152,10.030781121902825,20.795483742710363,9.16609435465773,10.218564604496514,8.53150817584709,85.61,11,-30.3,-33.9,0.2,-43,0,0,91.36,99,32.2,24,80.5,-1,36,64,517,390.2,252.3,175.3,3.544260954597688,3.1966499870288283,2.655682832665458,1.7763129178153767,0,0,0,0,14,29.2,29.2,15.1,390.2,4.4,2014-06-15
Calgary,2015,88.84415226101889,59.8519748139668,6.34531196336577,-1.997298225529479,34.96825414997138,-11.734754797441365,21.694511286811046,13.667086433886663,0.6802312657737897,20.85268864450051,10.579419218739224,8.402700397383258,20.94652155266653,6.952699081931719,10.216124105367266,8.74077673041117,85.84,9,-24.9,-28.3,0.2,-32,0,0,91.27,98,33.6,17,72.4,0,36,65,522,440.2,352.8,104.1,5.454209461771568,3.950506198735265,3.8586285034421994,1.0759562905958773,0,0,0,0,22,36.9,36.9,11.2,440.2,6.3,2015-06-15
Calgary,2016,88.78310584482169,60.68041472029167,6.260328130340663,-1.8743648171356955,33.97666628688618,-11.422413793103448,21.916296042878322,13.427708784322661,0.6691124727695886,21.307154259013895,10.115660024980887,8.685054536248659,19.89384625073948,8.184596671647299,10.35308763149515,8.38294366210776,85.96,9,-25.2,-28.7,0.2,-35,0,0,90.67,98,30,16.6,64.4,0,36,53,468,517.5,450.2,61.699999999999996,5.05114033576467,4.175994492095303,4.104242062111089,0.8561735217767141,0,0,0,0,16,37.9,37.9,8.2,517.5,6.3,2016-06-15
Calgary,2017,88.78884897025172,58.484037075180225,5.283672768878719,-3.4401190067513445,32.00479405034325,-15.103140752229546,21.942680270549122,14.03112128146453,0.7579812822798561,20.95049293937587,12.217579755230606,9.485316345294839,21.259765952915227,8.981157859283496,10.393900788421483,8.87683544187431,86.31,9,-30.3,-33.8,0.2,-42,0,0,90.79,98,32.6,17.3,64.4,-1,36,69,856,354.1,221.9,144.6,6.543436602603229,3.2007155658692303,3.0064731011006027,1.3893099867115433,0,0,0,0,23,41.7,41.7,9.6,354.1,5.3,2017-06-15
Calgary,2018,88.90833537932728,61.13822735084704,4.987981831573778,-3.1274122268598084,29.50564694328505,-12.940573045631412,21.664043285784555,13.176160078566168,0.641662725370566,21.49076451891556,11.895693250729318,8.99464671873287,20.692744671576193,7.806987277037831,10.714461073063116,8.447753779983588,86.79,8,-30,-33.6,0,-37,0,0,98.81,98,36.4,15.8,80.5,-1,36,63,1150,410.1,238.8,202.7,6.702446971001993,3.1029780506050364,2.552546034804276,2.5131072321831036,0,0,0,0,31,27,27,32.8,410.1,5,2018-06-15
Edmonton,2004,92.95915072859745,71.35393897996357,2.783094262295082,-2.5159153005464483,21.43426684881603,-14.446604938271605,20.928520028783883,12.539275956284152,0.7070070453223353,18.789371669312896,11.977934756894157,11.079850094206893,6.040075145439507,10.023386710734286,9.019160484207474,7.764688326713781,90.47,16,-41.3,-45.1,0,-53,1,0,95.38,100,29.5,21.8,25,-1,36,70,2569,466.2,329.9,147.4,11.252867655240308,3.726759287308194,3.4953626095782866,1.578274823508047,0,0,0,0,40,27.8,27.8,15.8,466.2,2.8,2004-06-15
Edmonton,2005,92.90595248972133,73.52661032434902,3.339675650982184,-1.5670397441754225,22.04523755139333,-14.50035360678925,21.085907335907336,12.246459570580173,0.7184861739856503,18.569088736813086,11.415720305555476,10.006815425472393,5.454201524219956,9.251028865550026,8.845514789458614,7.597349475039347,90.61,16,-40.6,-44.1,0.2,-51,1,0,94.79,100,28.8,18.4,25,-1,36,59,1542,432,351.7,87.3,7.727782418321671,3.3674514158462836,3.229434241721255,1.1012602089742136,0,0,0,0,30,32.8,32.8,12.6,432,3.3,2005-06-15
Edmonton,2006,92.86701107432356,72.67713209270465,3.6926361456787307,-1.5913232104121475,21.098595730106176,-13.640615748963883,20.74428349096133,12.872131521863226,0.8045646457750196,20.011657168980218,12.076383104698959,9.993010577288818,6.519454196815314,7.393378087033493,8.983113878500294,7.784996104153626,89.58,12,-36.2,-39.5,0.2,-42,1,0,95.7,100,33.3,20.9,24.1,-1,36,50,2005,473.5,338.2,149.5,9.515636766285843,3.2916466286989485,3.067344942738264,1.5190154040304484,0,0,0,0,31,25,25,14.2,473.5,3.7,2006-06-15
Edmonton,2007,92.86655821917809,72.96541095890412,2.756084474885845,-2.118538812785388,22.27109589041096,-15.374848851269649,20.973317450863608,13.173287671232877,0.7792416513030442,16.71981049432539,12.32255440853136,11.074067491522932,5.248158675237265,8.181217609116185,8.783567785028463,8.078285681074469,89.6,16,-35.3,-39.8,0,-43,1,0,95.25,100,31.2,21.5,24.1,-1,36,59,3413,396.6,301.2,114.2,14.106454793365707,3.153449279817157,2.857642591401107,1.0881599039280265,0,0,0,0,46,34.1,29.6,9.4,396.6,2.8,2007-06-15
Edmonton,2008,92.85394284413071,66.67482636912217,2.4769668678128203,-3.7310713879084596,21.94624843447569,-15.953467427199039,21.657689070578332,12.823864283274508,0.749917809153756,16.71617702613815,13.247846257830723,11.480316001833856,5.623819533876966,10.702807403746252,8.682860611361715,8.17051342870851,89.22,15,-44,-46.3,0,-54,1,0,95.37,100,35.6,19.3,24.1,-1,36,54,1734,308.5,217.6,100.2,7.409512522025824,2.4291926219775664,2.2107514813821854,0.9418841459765389,0,0,0,0,26,25,20.4,6.6,308.5,2.5,2008-06-15
