city,year,month,pressure_mean,rel_hum_mean,temp_mean,temp_dew_mean,visib_mean,wind_chill_mean,wind_dir_mean,wind_spd_mean,pressure_sd,rel_hum_sd,temp_sd,temp_dew_sd,visib_sd,wind_chill_sd,wind_dir_sd,wind_spd_sd,pressure_min,rel_hum_min,temp_min,temp_dew_min,visib_min,wind_chill_min,wind_dir_min,wind_spd_min,pressure_max,rel_hum_max,temp_max,temp_dew_max,visib_max,wind_chill_max,wind_dir_max,wind_spd_max,snow_grnd_sum,total_precip_sum,total_rain_sum,total_snow_sum,snow_grnd_sd,total_precip_sd,total_rain_sd,total_snow_sd,snow_grnd_min,total_precip_min,total_rain_min,total_snow_min,snow_grnd_max,total_precip_max,total_rain_max,total_snow_max,precip,temp,date
Edmonton,2016,05,93.0102688172043,55.93413978494624,11.504032258064516,0.8341397849462365,22.25040322580645,-5.303030303030303,22.943472409152086,15.466397849462366,0.7056651608911296,27.534042867350255,7.162034259093793,5.589248096052148,4.79504284727222,2.1576151256197273,9.602449839111236,8.58424798809889,91.17,9,-6.5,-12.1,2.8,-10,0,0,94.58,96,29.6,11.3,24.1,-2,36,47,0,106.8,106.8,0,NaN,8.85962224950595,8.85962224950595,0,Inf,0,0,0,-Inf,36.6,36.6,0,106.8,11.5,2016-05-15
Edmonton,2016,06,92.86619444444445,65.34861111111111,15.72486111111111,8.448472222222222,23.875694444444445,NaN,22.3643949930459,14.580555555555556,0.6081497655858852,20.18873047330955,5.309215357625408,3.817396370290365,1.3201470040671182,NaN,8.420240942951473,8.367874173817533,91.62,21,2.2,-5.5,8.1,Inf,0,0,93.97,96,29.2,16.3,32.2,-Inf,36,39,0,87.6,87.6,0,NaN,5.376218386368901,5.376218386368901,0,Inf,0,0,0,-Inf,21,21,0,87.6,15.7,2016-06-15
Edmonton,2016,07,92.92345430107527,77.13978494623656,16.764112903225808,12.331586021505377,23.00927419354839,NaN,23.063172043010752,10.10483870967742,0.397324874356342,16.749338082403213,4.502018661103126,2.261482656766758,3.8198895095928314,NaN,8.652560199153266,5.465642421552669,92.12,33,6.4,5.3,0.6,Inf,0,1,93.76,97,27.7,18.4,24.1,-Inf,36,39,0,102.2,102.2,0,NaN,8.108145471592486,8.108145471592486,0,Inf,0,0,0,-Inf,38.8,38.8,0,102.2,16.8,2016-07-15
Edmonton,2016,08,93.11010767160161,74.47375504710632,15.748048452220727,10.656796769851951,23.32678331090175,NaN,21.827725437415882,12.825033647375506,0.5663402054272553,18.681947057350946,5.3459981594739965,2.9470491377591412,3.610343222387716,NaN,9.199052808968741,7.266699734580964,91.3,29,1.7,1,0.2,Inf,0,1,94.15,97,27.2,16.4,24.1,-Inf,36,39,0,72.5,72.3,0,NaN,8.189104259406433,8.327200123976962,0,Inf,0,0,0,-Inf,44.2,44.2,0,72.5,15.7,2016-08-15
Edmonton,2016,09,93.05469444444445,71.36805555555556,10.03375,4.329722222222222,23.348333333333336,-4,22.785515320334262,12.690277777777778,0.6035902468238584,20.3098893838473,5.709086756433957,3.267500000147796,3.4762692421945425,1.539600717839002,8.127554365931587,6.829121552181554,91.47,25,-3.6,-5.5,0.2,-7,0,0,94.27,97,25.3,14.9,24.1,-1,36,37,0,21.5,21.1,0.4,NaN,1.960661980632779,1.9642465140139855,0.07302967433402216,Inf,0,0,0,-Inf,8.8,8.8,0.4,21.5,10,2016-09-15
Edmonton,2016,10,92.8553494623656,85.16129032258064,1.3224462365591398,-1.1026881720430108,19.19489247311828,-6.172535211267606,18.943472409152086,12.065948855989232,0.7385902955518879,12.698525532050683,3.85333316898987,3.2667323954187717,7.788622391039287,2.6037115222956833,10.799796958332992,6.62244900853877,90.92,37,-10.2,-11.1,0.2,-15,0,1,94.1,98,13.3,7.8,24.1,-1,36,33,60,37.4,16.6,22,3.1847852585154217,3.1367643077828857,2.5067307244160033,2.0919456396235026,0,0,0,0,12,14,14,9.5,37.4,1.3,2016-10-15
Edmonton,2016,11,92.67041666666667,81.74861111111112,0.22972222222222222,-2.964444444444444,18.879305555555558,-8.471698113207546,19.4,12.483333333333333,0.6518142808695433,16.175218369658374,6.1545198001160255,3.9481355571958434,7.994906380245997,3.3410054889165353,8.146844231470856,6.435061297936938,91.16,20,-13.2,-14.7,0.2,-19,1,1,94.26,97,20,6.4,32.2,-1,36,36,98,16.8,8.6,10.4,3.2033479218618663,1.3910055901124692,1.1100585052408147,1.1373694190553474,0,0,0,0,9,5.4,5.4,4.6,16.8,0.2,2016-11-15
Edmonton,2016,12,92.98263795423956,72.35531628532975,-12.856123822341857,-17.042934051144012,20.89434724091521,-20.25669957686883,23.181695827725438,14.423956931359355,0.9524184209319868,11.59945837688232,8.672526068287862,8.10573159197845,6.43443987622625,9.728320869755951,7.912294764545067,7.650859540407039,91.14,37,-32.3,-35.8,0.2,-41,1,1,95.38,96,3.1,-3.3,32.2,-3,36,42,185,13.1,0,13.1,2.692048743388873,1.200713389480671,0,1.200713389480671,4,0,0,0,12,6.4,0,6.4,13.1,-12.9,2016-12-15
Edmonton,2017,01,92.85129032258064,76.93817204301075,-9.61021505376344,-13.08252688172043,19.059946236559142,-17.84430176565008,22.377688172043012,12.298387096774194,1.0093668719653723,10.162022291741177,8.465299477458373,7.806701821966561,8.27959648156293,8.620052266617042,8.1561864673376,7.5588100768094515,90.46,44,-32.5,-35.7,0.2,-42,0,1,94.47,93,6.5,0.7,24.1,-1,36,49,394,10.8,0,11.8,2.991026004423864,1.017143374928673,0,1.028078905803995,9,0,0,0,18,5.4,0,5.4,10.8,-9.6,2017-01-15
Edmonton,2017,02,92.56177347242921,74.6274217585693,-8.231743666169896,-12.142921013412817,21.731743666169898,-17.11545988258317,22.87125748502994,11.658718330849478,0.9777383204291097,11.034603337022872,9.302058339053247,8.85074445598195,5.598687727362838,8.991301664465864,8.196877321069309,5.838478448506801,90.09,45,-31.6,-35.2,0.8,-41,1,0,94.68,96,25.7,21.5,24.1,-2,36,35,193,11,1.2,7.6,4.4436965182648045,0.8530154322374994,0.23094010767585035,0.5269922178939626,1,0,0,0,13,3.2,1.2,1.8,11,-8.2,2017-02-15
